"tablescraper-selected-row","tablescraper-selected-row href","mw-file-description href","mw-file-element src","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href 2","mw-file-element src 2","tablescraper-selected-row 4","tablescraper-selected-row href 3","tablescraper-selected-row 5","tablescraper-selected-row href 4","tablescraper-selected-row 6","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row href 5"
"1959","https://en.wikipedia.org/wiki/1959_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Salvatore_Quasimodo_1959.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Salvatore_Quasimodo_1959.jpg/120px-Salvatore_Quasimodo_1959.jpg","(1901–1968)","Salvatore Quasimodo","https://en.wikipedia.org/wiki/Salvatore_Quasimodo","https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/40px-Flag_of_Italy.svg.png","Italy","https://en.wikipedia.org/wiki/Italy","Italian","https://en.wikipedia.org/wiki/Italian_language","""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""","60","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1959-61","[","]","poetry","",""
"1960","https://en.wikipedia.org/wiki/1960_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Saint-John_Perse_1960.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Saint-John_Perse_1960.jpg/120px-Saint-John_Perse_1960.jpg","(1887–1975)","Saint-John Perse","https://en.wikipedia.org/wiki/Saint-John_Perse","https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/40px-Flag_of_France.svg.png","France","https://en.wikipedia.org/wiki/France","Guadeloupe","https://en.wikipedia.org/wiki/Guadeloupe","""for the soaring flight and the evocative imagery of his poetry, which in a visionary fashion reflects the conditions of our time""","61","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1960-62","[","]","poetry","French","https://en.wikipedia.org/wiki/French_language"
"1961","https://en.wikipedia.org/wiki/1961_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:S._Kragujevic,_Ivo_Andric,_1961.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/S._Kragujevic%2C_Ivo_Andric%2C_1961.jpg/120px-S._Kragujevic%2C_Ivo_Andric%2C_1961.jpg","(1892–1975)","Ivo Andrić","https://en.wikipedia.org/wiki/Ivo_Andri%C4%87","https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Flag_of_Yugoslavia_%281946-1992%29.svg/40px-Flag_of_Yugoslavia_%281946-1992%29.svg.png","Yugoslavia","https://en.wikipedia.org/wiki/Socialist_Federal_Republic_of_Yugoslavia","Austria-Hungary","https://en.wikipedia.org/wiki/Austria-Hungary","""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""","62","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1961-63","[","]","novel, short story","Serbo-Croatian","https://en.wikipedia.org/wiki/Serbo-Croatian"
"1962","https://en.wikipedia.org/wiki/1962_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:John_Steinbeck_1939_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/John_Steinbeck_1939_%28cropped%29.jpg/120px-John_Steinbeck_1939_%28cropped%29.jpg","(1902–1968)","John Steinbeck","https://en.wikipedia.org/wiki/John_Steinbeck","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","United States","https://en.wikipedia.org/wiki/United_States","English","https://en.wikipedia.org/wiki/English_language","""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""","63","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1962-64","[","]","novel, short story, screenplay","",""
"1963","https://en.wikipedia.org/wiki/1963_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Giorgos_Seferis_1963.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Giorgos_Seferis_1963.jpg/120px-Giorgos_Seferis_1963.jpg","(1900–1971)","Giorgos Seferis","https://en.wikipedia.org/wiki/Giorgos_Seferis","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Greece_%281822-1978%29.svg/40px-Flag_of_Greece_%281822-1978%29.svg.png","Greece","https://en.wikipedia.org/wiki/Greece","Ottoman Empire","https://en.wikipedia.org/wiki/Ottoman_Empire","""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""","64","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1963-65","[","]","poetry, essay, memoir","Greek","https://en.wikipedia.org/wiki/Greek_language"
"1964","https://en.wikipedia.org/wiki/1964_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Jean_Paul_Sartre_1965.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Jean_Paul_Sartre_1965.jpg/120px-Jean_Paul_Sartre_1965.jpg","(1905–1980)","Jean-Paul Sartre","https://en.wikipedia.org/wiki/Jean-Paul_Sartre","https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/40px-Flag_of_France.svg.png","France","https://en.wikipedia.org/wiki/France","French","https://en.wikipedia.org/wiki/French_language","""for his work, which rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""","65","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1964-66","[","]","philosophy, novel, drama, essay, short story, screenplay","",""
"1965","https://en.wikipedia.org/wiki/1965_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Mikhail_Sholokhov_1960.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Mikhail_Sholokhov_1960.jpg/120px-Mikhail_Sholokhov_1960.jpg","(1905–1984)","Mikhail Sholokhov","https://en.wikipedia.org/wiki/Mikhail_Sholokhov","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/40px-Flag_of_the_Soviet_Union.svg.png","Soviet Union","https://en.wikipedia.org/wiki/Soviet_Union","Russian","https://en.wikipedia.org/wiki/Russian_language","""for the artistic power and integrity with which, in his , he has given expression to a historic phase in the life of the Russian people""","66","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1965-67","[","]","novel","epic of the Don","https://en.wikipedia.org/wiki/And_Quiet_Flows_the_Don"
"1966","https://en.wikipedia.org/wiki/1966_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:%D7%A4%D7%95%D7%A8%D7%98%D7%A8%D7%98_%D7%A9%22%D7%99_%D7%A2%D7%92%D7%A0%D7%95%D7%9F_(cropped2).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/%D7%A4%D7%95%D7%A8%D7%98%D7%A8%D7%98_%D7%A9%22%D7%99_%D7%A2%D7%92%D7%A0%D7%95%D7%9F_%28cropped2%29.jpg/120px-%D7%A4%D7%95%D7%A8%D7%98%D7%A8%D7%98_%D7%A9%22%D7%99_%D7%A2%D7%92%D7%A0%D7%95%D7%9F_%28cropped2%29.jpg","(1888–1970)","Shmuel Yosef Agnon","https://en.wikipedia.org/wiki/Shmuel_Yosef_Agnon","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/40px-Flag_of_Israel.svg.png","Israel","https://en.wikipedia.org/wiki/Israel","Austria-Hungary","https://en.wikipedia.org/wiki/Austria-Hungary","""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""","67","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1966-68","[","]","novel, short story","Hebrew","https://en.wikipedia.org/wiki/Hebrew_language"
"West Germany","https://en.wikipedia.org/wiki/West_Germany","https://en.wikipedia.org/wiki/File:Nelly_Sachs_1966.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Nelly_Sachs_1966.jpg/120px-Nelly_Sachs_1966.jpg","(1891–1970)","Nelly Sachs","https://en.wikipedia.org/wiki/Nelly_Sachs","https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/40px-Flag_of_Germany.svg.png","Sweden","https://en.wikipedia.org/wiki/Sweden","German","https://en.wikipedia.org/wiki/German_language","poetry, drama","67","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1966-68","[","]","","",""
"1967","https://en.wikipedia.org/wiki/1967_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Miguel_Angel_Asturias.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Miguel_Angel_Asturias.jpg/120px-Miguel_Angel_Asturias.jpg","(1899–1974)","Miguel Ángel Asturias","https://en.wikipedia.org/wiki/Miguel_%C3%81ngel_Asturias","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/40px-Flag_of_Guatemala.svg.png","Guatemala","https://en.wikipedia.org/wiki/Guatemala","Spanish","https://en.wikipedia.org/wiki/Spanish_language","""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America""","68","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1967-69","[","]","novel, poetry","",""
"1968","https://en.wikipedia.org/wiki/1968_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Yasunari_Kawabata_1968_cropped.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Yasunari_Kawabata_1968_cropped.jpg/120px-Yasunari_Kawabata_1968_cropped.jpg","(1899–1972)","Yasunari Kawabata","https://en.wikipedia.org/wiki/Yasunari_Kawabata","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Japan_%281870%E2%80%931999%29.svg/40px-Flag_of_Japan_%281870%E2%80%931999%29.svg.png","Japan","https://en.wikipedia.org/wiki/Japan","Japanese","https://en.wikipedia.org/wiki/Japanese_language","""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind""","69","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1968-70","[","]","novel, short story","",""
"1969","https://en.wikipedia.org/wiki/1969_Nobel_Prize_in_Literature","https://en.wikipedia.org/wiki/File:Samuel_Beckett,_Pic,_1_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Samuel_Beckett%2C_Pic%2C_1_%28cropped%29.jpg/120px-Samuel_Beckett%2C_Pic%2C_1_%28cropped%29.jpg","(1906–1989)","Samuel Beckett","https://en.wikipedia.org/wiki/Samuel_Beckett","https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/40px-Flag_of_Ireland.svg.png","Ireland","https://en.wikipedia.org/wiki/Irish_Free_State","French","https://en.wikipedia.org/wiki/French_language","""for his writing, which – in new forms for the novel and drama – in the destitution of modern man acquires its elevation""","70","https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature#cite_note-Literature1969-71","[","]","novel, drama, poetry","English","https://en.wikipedia.org/wiki/English_language"
